Epoch,train_loss,test_loss,accuracy
0,9.711993887865052,3.464618851266259,0.5
1,9.706423949128524,3.464481421740568,0.5
2,9.704603181371269,3.4641061008406537,0.5
3,9.703652614717988,3.4636816457337414,0.5
4,9.702914521916261,3.4632505771239517,0.5
5,9.702236960868461,3.462822743015797,0.5
6,9.70158666192013,3.462400696567713,0.5
7,9.700943541478274,3.4619840468283987,0.5
8,9.700324258500434,3.461575215199297,0.5
9,9.699719671565548,3.4611748048646382,0.5
10,9.69913496596006,3.4607851324899626,0.5
11,9.698580837088103,3.460404350319079,0.5
12,9.698045596382777,3.4600324917197884,0.5
13,9.697526979053642,3.45966909347205,0.5
14,9.697025320662126,3.459313119363621,0.5
15,9.69653534092592,3.458963605066682,0.5
16,9.696057892535629,3.4586207146276604,0.5
